                              SF-a               SF-b               SF-c               SF-d               SF-e               SF-f               SF-g               SF-h               SF-i               SF-j               SF-k               SF-l               SF-m        |  |   Total
1:SRs:SZee_all           :1.34  +-  0.77  |  0.47  +-  0.19  |  0.05  +-  0.05  |  0.40  +-  0.18  |  0.02  +-  0.02  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  -0.06 +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   2.21+-0.82   
1:SRs:SZmumu_all         :0.35  +-  0.68  |  0.81  +-  0.52  |  -0.30 +-  0.00  |  -0.13 +-  0.00  |  -0.30 +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.03  +-  0.03  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   0.46+-0.94   
1:SRs:Ztt_all            :0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   0.00+-0.00   
1:SRs:ttbar_1in3         :3.99  +-  2.08  |  3.33  +-  1.68  |  4.98  +-  2.05  |  1.65  +-  1.17  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |  13.96+-3.58   
1:SRs:top_1in3           :0.00  +-  0.00  |  0.00  +-  0.00  |  0.66  +-  0.66  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   0.66+-0.66   
1:SRs:antitop_1in3       :0.77  +-  0.77  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.12  +-  0.12  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   0.89+-0.78   
1:SRs:ZZ_1in3            :6.65  +-  0.93  |  2.21  +-  0.53  |  1.23  +-  0.39  |  2.08  +-  0.51  |  2.51  +-  0.56  |  1.56  +-  0.45  |  0.78  +-  0.32  |  0.31  +-  0.18  |  0.95  +-  0.35  |  0.47  +-  0.24  |  0.38  +-  0.22  |  0.76  +-  0.31  |  1.23  +-  0.39  |  |  21.13+-1.68   
1:SRs:WZ_1in3            :3.37  +-  0.46  |  1.21  +-  0.27  |  0.88  +-  0.24  |  0.80  +-  0.22  |  0.57  +-  0.19  |  0.21  +-  0.11  |  0.40  +-  0.15  |  0.42  +-  0.16  |  0.42  +-  0.16  |  0.00  +-  0.00  |  0.12  +-  0.08  |  0.31  +-  0.14  |  0.18  +-  0.10  |  |   8.89+-0.76   
1:SRs:WW_1in3            :6.79  +-  0.82  |  5.55  +-  0.72  |  6.41  +-  0.79  |  4.34  +-  0.65  |  1.09  +-  0.33  |  2.01  +-  0.45  |  1.79  +-  0.43  |  0.98  +-  0.30  |  0.21  +-  0.14  |  0.38  +-  0.19  |  0.39  +-  0.19  |  0.55  +-  0.23  |  0.53  +-  0.23  |  |  31.03+-1.83   

Total MC                 :23.27 +-  2.81  |  13.58 +-  2.02  |  13.91 +-  2.36  |  9.25  +-  1.49  |  3.90  +-  0.72  |  3.78  +-  0.65  |  2.97  +-  0.56  |  1.71  +-  0.38  |  1.56  +-  0.41  |  0.85  +-  0.31  |  0.89  +-  0.30  |  1.62  +-  0.41  |  1.95  +-  0.47  |  |  79.22+-4.90   
Observed                 :34.00 +-  5.87  |  21.00 +-  4.60  |  20.00 +-  4.49  |  11.00 +-  3.32  |  7.00  +-  2.65  |  4.00  +-  2.00  |  6.00  +-  2.45  |  4.00  +-  2.00  |  2.00  +-  1.41  |  1.00  +-  1.00  |  1.00  +-  1.00  |  1.00  +-  1.00  |  1.00  +-  1.00  |  | 113.00+-10.87  

1:SRs:SL550X001_all      :0.02  +-  0.02  |  0.00  +-  0.00  |  0.11  +-  0.05  |  1.19  +-  0.17  |  0.01  +-  0.01  |  0.03  +-  0.02  |  0.07  +-  0.03  |  1.23  +-  0.16  |  0.03  +-  0.02  |  0.20  +-  0.07  |  0.43  +-  0.10  |  2.20  +-  0.22  |  5.20  +-  0.35  |  |  10.72+-0.53   
S/rB                     :0.00  +-  0.00  |  0.00  +-  0.00  |  0.03  +-  0.01  |  0.39  +-  0.06  |  0.01  +-  0.01  |  0.01  +-  0.01  |  0.04  +-  0.02  |  0.94  +-  0.16  |  0.02  +-  0.02  |  0.22  +-  0.09  |  0.46  +-  0.13  |  1.73  +-  0.28  |  3.73  +-  0.51  |  |   1.20+-0.07   

1:SRs:SL400X250_all      :0.94  +-  0.27  |  1.63  +-  0.37  |  2.58  +-  0.47  |  6.74  +-  0.78  |  1.41  +-  0.37  |  2.74  +-  0.52  |  3.67  +-  0.57  |  3.50  +-  0.59  |  0.76  +-  0.22  |  1.69  +-  0.37  |  1.24  +-  0.29  |  0.85  +-  0.23  |  0.00  +-  0.00  |  |  27.74+-1.65   
S/rB                     :0.19  +-  0.06  |  0.44  +-  0.11  |  0.69  +-  0.14  |  2.22  +-  0.31  |  0.71  +-  0.20  |  1.41  +-  0.29  |  2.13  +-  0.39  |  2.68  +-  0.54  |  0.61  +-  0.20  |  1.83  +-  0.52  |  1.31  +-  0.38  |  0.67  +-  0.20  |  0.00  +-  0.00  |  |   3.12+-0.21   

1:SRs:SL300X200_all      :5.98  +-  1.24  |  11.70 +-  1.94  |  12.18 +-  2.14  |  8.79  +-  1.68  |  0.53  +-  0.37  |  1.91  +-  0.73  |  0.71  +-  0.37  |  1.22  +-  0.59  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |  43.02+-3.80   
S/rB                     :1.24  +-  0.27  |  3.17  +-  0.58  |  3.27  +-  0.64  |  2.89  +-  0.60  |  0.27  +-  0.19  |  0.98  +-  0.39  |  0.41  +-  0.22  |  0.93  +-  0.46  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   4.83+-0.45   


