                              SF-a               SF-b               SF-c               SF-d               SF-e               SF-f               SF-g               SF-h               SF-i               SF-j               SF-k               SF-l               SF-m        |  |   Total
Total MC                 :53.21 +-  4.96  |  27.94 +-  3.59  |  29.63 +-  3.98  |  21.35 +-  3.05  |  5.36  +-  0.91  |  4.92  +-  0.83  |  3.68  +-  0.68  |  2.30  +-  0.49  |  1.77  +-  0.49  |  1.30  +-  0.42  |  1.41  +-  0.43  |  2.01  +-  0.52  |  2.76  +-  0.62  |  | 157.65+-8.61   
Observed                 :75.00 +-  8.79  |  41.00 +-  6.46  |  38.00 +-  6.21  |  19.00 +-  4.38  |  8.00  +-  2.83  |  6.00  +-  2.45  |  6.00  +-  2.45  |  4.00  +-  2.00  |  2.00  +-  1.41  |  1.00  +-  1.00  |  2.00  +-  1.41  |  1.00  +-  1.00  |  1.00  +-  1.00  |  | 204.00+-14.85  

1:SRs:SL550X001_all      :0.02  +-  0.02  |  0.00  +-  0.00  |  0.11  +-  0.05  |  1.14  +-  0.16  |  0.01  +-  0.01  |  0.03  +-  0.02  |  0.07  +-  0.03  |  1.19  +-  0.16  |  0.03  +-  0.02  |  0.14  +-  0.06  |  0.41  +-  0.09  |  2.15  +-  0.21  |  5.56  +-  0.37  |  |  10.85+-0.53   
S/rB                     :0.00  +-  0.00  |  0.00  +-  0.00  |  0.02  +-  0.01  |  0.25  +-  0.04  |  0.01  +-  0.01  |  0.01  +-  0.01  |  0.03  +-  0.02  |  0.78  +-  0.14  |  0.02  +-  0.02  |  0.13  +-  0.06  |  0.34  +-  0.10  |  1.52  +-  0.24  |  3.34  +-  0.44  |  |   0.86+-0.05   

1:SRs:SL400X250_all      :1.01  +-  0.28  |  1.72  +-  0.37  |  2.45  +-  0.47  |  6.88  +-  0.79  |  1.41  +-  0.37  |  2.38  +-  0.49  |  3.82  +-  0.57  |  3.77  +-  0.61  |  0.76  +-  0.22  |  2.08  +-  0.41  |  1.58  +-  0.37  |  1.01  +-  0.26  |  0.00  +-  0.00  |  |  28.87+-1.69   
S/rB                     :0.14  +-  0.04  |  0.33  +-  0.07  |  0.45  +-  0.09  |  1.49  +-  0.20  |  0.61  +-  0.17  |  1.07  +-  0.24  |  1.99  +-  0.35  |  2.49  +-  0.48  |  0.57  +-  0.19  |  1.82  +-  0.47  |  1.34  +-  0.37  |  0.71  +-  0.20  |  0.00  +-  0.00  |  |   2.30+-0.15   

1:SRs:SL300X200_all      :6.19  +-  1.25  |  13.27 +-  2.14  |  12.95 +-  2.18  |  8.67  +-  1.62  |  0.90  +-  0.52  |  2.16  +-  0.78  |  1.14  +-  0.48  |  1.22  +-  0.59  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |  46.50+-3.96   
S/rB                     :0.85  +-  0.18  |  2.51  +-  0.44  |  2.38  +-  0.43  |  1.88  +-  0.38  |  0.39  +-  0.23  |  0.97  +-  0.36  |  0.59  +-  0.25  |  0.80  +-  0.40  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  0.00  +-  0.00  |  |   3.70+-0.33   


